Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i7 3.5	1TB	100		MacBook Pro	13 pulgadas	2017	Core I7 3.5
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.9	256GB	100		MacBook Pro	15 pulgadas	2017	Core I7 2.9
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i7 2.5	512GB	95		MacBook Pro	13 pulgadas	2017	Core I7 2.5
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.3	1TB	95		MacBook Pro	13 pulgadas	2017	Core I5 3.3
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i7 3.5	512GB	95		MacBook Pro	13 pulgadas	2017	Core I7 3.5
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.8	256GB	95		MacBook Pro	15 pulgadas	2017	Core I7 2.8
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.1	1TB	90		MacBook Pro	13 pulgadas	2017	Core I5 3.1
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.3	512GB	85		MacBook Pro	13 pulgadas	2017	Core I5 3.3
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i5 2.3	1TB	80		MacBook Pro	13 pulgadas	2017	Core I5 2.3
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.3	256GB	80		MacBook Pro	13 pulgadas	2017	Core I5 3.3
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i7 3.5	256GB	80		MacBook Pro	13 pulgadas	2017	Core I7 3.5
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i7 2.5	128GB	75		MacBook Pro	13 pulgadas	2017	Core I7 2.5
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i7 2.5	256GB	75		MacBook Pro	13 pulgadas	2017	Core I7 2.5
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.1	512GB	75		MacBook Pro	13 pulgadas	2017	Core I5 3.1
